Year,Subject Name,Type,Group,Total Appeared,Total Passed,Pass %
2025,Physics,Theory,Pre-Medical,33958,30799,90.70
2025,Chemistry,Theory,Pre-Medical,35008,29118,83.18
2025,Biology,Theory,Pre-Medical,34497,28667,83.10
2025,Mathematics,Theory,Pre-Engineering,8503,6958,81.83
2025,English,Theory,Humanities,59569,27676,46.46
2025,Computer Science,Theory,General Science,50006,46059,92.11
2025,Urdu,Theory,Commerce,11647,10382,89.14
2025,Principles of Accounting,Theory,Commerce,11354,10325,90.94
2024,Physics,Theory,Pre-Medical,44236,39645,89.62
2024,Chemistry,Theory,Pre-Medical,45238,36880,81.52
2024,Biology,Theory,Pre-Medical,44274,36659,82.80
2024,Mathematics,Theory,Pre-Engineering,12104,9764,80.67
2024,Computer Science,Theory,General Science,42935,38172,88.91
2024,English,Theory,Humanities,60304,25771,42.74
2024,Principles of Accounting,Theory,Commerce,12849,12245,95.30
2024,Business Mathematics & Statistics,Theory,Commerce,13226,10779,81.50
2024,Islamic Studies,Theory,Humanities,29894,27252,91.16
2023,Physics,Theory,Pre-Medical,44265,39413,89.04
2023,Chemistry,Theory,Pre-Medical,44958,35896,79.84
2023,Biology,Theory,Pre-Medical,45144,39060,86.52
2023,Mathematics,Theory,Pre-Engineering,14942,11298,75.61
2023,Computer Science,Theory,General Science,34557,30999,89.70
2023,English,Theory,Humanities & Others,64251,24939,38.81
2023,Principles of Accounting,Theory,Commerce,16354,15464,94.56
2023,Business Mathematics & Statistics,Theory,Commerce,16434,14159,86.16
2023,Islamic Studies,Theory,Humanities & Others,36356,32768,90.13
2022,Urdu,Theory,Pre-Medical,36258,35983,99.24
2022,Physics,Theory,Pre-Medical,36040,32724,90.80
2022,Chemistry,Theory,Pre-Medical,36018,30759,85.40
2022,Mathematics,Theory,Pre-Engineering,15455,13005,84.15
2022,Computer Science,Theory,General Science,28029,25440,90.76
2022,English,Theory,Humanities & Others,53469,37787,70.67
2022,Principles of Accounting,Theory,Commerce,14711,13815,93.91
2022,Islamic Studies,Theory,Humanities & Others,32717,29865,91.28
2022,Education,Theory,Humanities & Others,32592,27576,84.61
2021,Physics,Theory,Pre-Medical,43598,43254,99.21
2021,Chemistry,Theory,Pre-Medical,43412,42981,99.01
2021,Biology,Theory,Pre-Medical,43325,43110,99.50
2021,Mathematics,Theory,Pre-Engineering,17854,17420,97.57
2021,Computer Science,Theory,General Science,35641,35102,98.49
2021,Psychology,Theory,Humanities & Others,7452,7390,99.17
2021,Principles of Accounting,Theory,Commerce,15231,14982,98.37
2021,Economics,Theory,Humanities & Others,12453,12101,97.17
2021,Sociology,Theory,Humanities & Others,11245,11182,99.44
2020,Physics,Theory,Pre-Medical,34036,34031,99.99
2020,Chemistry,Theory,Pre-Medical,34571,34557,99.96
2020,Biology,Theory,Pre-Medical,34666,34657,99.97
2020,Mathematics,Theory,Pre-Engineering,20773,20769,99.98
2020,Computer Science,Theory,General Science,22919,22912,99.97
2020,Principles of Accounting,Theory,Commerce,16420,16415,99.97
2020,Economics,Theory,General Science,2783,2783,100.00
2020,English,Theory,Humanities,59269,59137,99.78
2020,Islamic Studies,Theory,Humanities,28887,28880,99.98
2019,Physics,Theory,Pre-Medical,34600,30648,88.58
2019,Chemistry,Theory,Pre-Medical,33803,28544,84.44
2019,Biology,Theory,Pre-Medical,34074,29861,87.64
2019,Mathematics,Theory,Pre-Engineering,22993,18247,79.36
2019,Computer Science,Theory,General Science,23940,19846,82.90
2019,English,Theory,Humanities,86057,36352,42.24
2019,Principles of Accounting,Theory,Commerce,19073,17142,89.88
2019,Islamic Studies,Theory,Humanities,39164,33065,84.43
2019,Economics,Theory,Humanities,4791,4273,89.19
2018,Physics,Theory,Pre-Medical,27170,22380,82.37
2018,Chemistry,Theory,Pre-Medical,27170,23688,87.18
2018,Biology,Theory,Pre-Medical,27170,24492,90.14
2018,Mathematics,Theory,Pre-Engineering,19247,15290,79.44
2018,Computer Science,Theory,General Science,19127,15665,81.90
2018,English,Theory,Humanities,24621,11386,46.25
2018,Urdu,Theory,Humanities,24620,23358,94.87
2018,Principles of Accounting,Theory,Commerce,11453,10523,91.88
2018,Islamic Studies,Theory,Humanities,13182,12003,91.06
2017,Physics,Theory,Pre-Medical,25532,23068,90.35
2017,Chemistry,Theory,Pre-Medical,26000,22208,85.42
2017,Biology,Theory,Pre-Medical,25473,22507,88.36
2017,Mathematics,Theory,Pre-Engineering,19441,15448,79.46
2017,Computer Science,Theory,General Science,17306,14283,82.53
2017,English,Theory,Humanities,65099,21296,32.71
2017,Urdu,Theory,Humanities,54948,49860,90.74
2017,Principles of Accounting,Theory,Commerce,17945,15316,85.35
2017,Islamic Studies,Theory,Humanities,34656,30000,86.56
2016,Physics,Theory,Pre-Medical,19944,18508,92.80
2016,Chemistry,Theory,Pre-Medical,19944,16830,84.39
2016,Biology,Theory,Pre-Medical,19944,18114,90.82
2016,Mathematics,Theory,Pre-Engineering,15644,13119,83.86
2016,Computer Science,Theory,General Science,14269,11258,78.90
2016,English,Theory,Humanities,21798,9238,42.38
2016,Principles of Accounting,Theory,Commerce,11258,10615,94.29
2016,Islamic Studies,Theory,Humanities,12035,10127,84.15
2016,Education,Theory,Humanities,10569,9090,86.01
